Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Agora-Drehrohrofen+5%E,,Energy demand,Injection Coal,,,,,0.0,,t/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen-5%E,,Energy demand,Injection Coal,,,,,0.0,,t/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,Energy demand,Injection Coal,,,,,0.0,,t/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,Energy demand,Injection Coal,,,,,0.0,,t/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen,,OPEX,Additional OPEX,,,,,29.78,,€/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen ,,OPEX,Additional OPEX,,,,,109.6,,€/t_product,,,Agora Zementrechenr+50,
Agora-El.LEILAC-Drehrohrofen,,OPEX,Additional OPEX,,,,,104.0,,€/t_product,,,Agora Zementrechenr+50,
Agora-Drehrohrofen+5%E,,OPEX,Additional OPEX,,,,,20.0,,€/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen+5%E,,OPEX,Additional OPEX,,,,,109.6,,€/t_product,,,Agora Zementrechenr+50,
Agora-El.LEILAC-Drehrohrofen+5%E,,OPEX,Additional OPEX,,,,,104.0,,€/t_product,,,Agora Zementrechenr+50,
Agora-Drehrohrofen-5%E,,OPEX,Additional OPEX,,,,,20.0,,€/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,OPEX,Additional OPEX,,,,,109.6,,€/t_product,,,Agora Zementrechenr+50,
Agora-El.LEILAC-Drehrohrofen-5%E,,OPEX,Additional OPEX,,,,,104.0,,€/t_product,,,Agora Zementrechenr+50,
Posted-Integrated CaL (w/ CC),,High CAPEX,CAPEX,,World,2019,,335.4,,USD_2005,,,Posted {posted_parent_variable},
Posted-Integrated CaL (w/ CC),,Emissions,CO2,,World,2019,,0.04191,,t,,,Posted {posted_parent_variable},
Posted-Integrated CaL (w/ CC),,Energy demand,Coal,,World,2019,,1.111,,MWh,,,Posted {posted_parent_variable},
Posted-Integrated CaL (w/ CC),,Energy demand,Electricity,,World,2019,,0.1279,,MWh,,,Posted {posted_parent_variable},
Posted-Integrated CaL (w/ CC),,OPEX,Additional OPEX,,World,2019,,31.17,,USD_2005,,,Posted {posted_parent_variable},
Posted-Standard (w/o CC),,High CAPEX,CAPEX,,World,2019,,161.3,,USD_2005,,,Posted {posted_parent_variable},
Posted-Standard (w/o CC),,Emissions,CO2,,World,2019,,0.6362,,t,,,Posted {posted_parent_variable},
Posted-Standard (w/o CC),,Energy demand,Coal,,World,2019,,0.6618,,MWh,,,Posted {posted_parent_variable},
Posted-Standard (w/o CC),,Energy demand,Electricity,,World,2019,,0.09676,,MWh,,,Posted {posted_parent_variable},
Posted-Standard (w/o CC),,OPEX,Additional OPEX,,World,2019,,20.64,,USD_2005,,,Posted {posted_parent_variable},
Posted-Tail-end CaL 20% IL (w/ CC),,High CAPEX,CAPEX,,World,2019,,344.2,,USD_2005,,,Posted {posted_parent_variable},
Posted-Tail-end CaL 20% IL (w/ CC),,Emissions,CO2,,World,2019,,0.08713,,t,,,Posted {posted_parent_variable},
Posted-Tail-end CaL 20% IL (w/ CC),,Energy demand,Coal,,World,2019,,1.781,,MWh,,,Posted {posted_parent_variable},
Posted-Tail-end CaL 20% IL (w/ CC),,OPEX,Additional OPEX,,World,2019,,31.38,,USD_2005,,,Posted {posted_parent_variable},
Posted-Tail-end CaL 50% IL (w/ CC),,High CAPEX,CAPEX,,World,2019,,321.5,,USD_2005,,,Posted {posted_parent_variable},
Posted-Tail-end CaL 50% IL (w/ CC),,Emissions,CO2,,World,2019,,0.05816,,t,,,Posted {posted_parent_variable},
Posted-Tail-end CaL 50% IL (w/ CC),,Energy demand,Coal,,World,2019,,1.45,,MWh,,,Posted {posted_parent_variable},
Posted-Tail-end CaL 50% IL (w/ CC),,Energy demand,Electricity,,World,2019,,0.04243,,MWh,,,Posted {posted_parent_variable},
Posted-Tail-end CaL 50% IL (w/ CC),,OPEX,Additional OPEX,,World,2019,,30.3,,USD_2005,,,Posted {posted_parent_variable},
