Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Scrap0_DRI100,,Energy demand,Injection Coal,,,,,0,,t/t RS,,,Setzung ,
Scrap0_DRI100,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Setzung ,
Scrap0_DRI100,,Energy demand,Biomass,,,,,0.015,,t/t RS,,,Entspricht Zusatz von 10kg C pro Tonne RS aus Biochar ,
Scrap20_DRI80,,Emissions,CO2,,,,,0.05,,t/t RS,,,Agora Stahlrechner ,
Scrap20_DRI80,,Energy demand,Natural Gas,,,,,0,,MWh/t RS,,,Setzung ,
Scrap20_DRI80,,Energy demand,Electricity,,,,,0.634,,MWh/t RS,,,Skaliert MA OL Cavaliere 2019 ,
Scrap20_DRI80,,Energy demand,Hydrogen,,,,,65,,kg/t RS,,,Skaliert MA OL Hölling 2017 plus Nebenanlagen plus Gasaufheizung plus Ersatz Brennererdgas EAF ,
Scrap20_DRI80,,Feedstock demand,Scrap Steel,,,,,0.218,,t/t RS,,,Skaliert von Scrap100 ,
Scrap20_DRI80,,High CAPEX,CAPEX,,,2024,,552,,€/t annual production capacity,,,Skaliert Originalwert aus Woertler et al 2013 auf 2024 inflationiert,
Scrap20_DRI80,,OPEX,Additional OPEX,,,2024,,71.3,,€/t RS,,,Wert fuer Arbeit aus MA OL auf 2024 inflationiert ,
Scrap20_DRI80,,Feedstock demand,Naphta,,,,,0,,t/t RS,,,Setzung ,
Scrap20_DRI80,,Feedstock demand,DRI-Pellets,,,,,1.288,,t/t RS,,,MA OL ,
Scrap20_DRI80,,Feedstock demand,Iron Ore,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Scrap20_DRI80,,Energy demand,Injection Coal,,,,,0,,t/t RS,,,Setzung ,
Scrap20_DRI80,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Setzung ,
Scrap20_DRI80,,Energy demand,Biomass,,,,,0.015,,t/t RS,,,Entspricht Zusatz von 10kg C pro Tonne RS aus Biochar ,
Scrap50_DRI50,,Emissions,CO2,,,,,0.05,,t/t RS,,,Agora Stahlrechner ,
Scrap50_DRI50,,Energy demand,Natural Gas,,,,,0,,MWh/t RS,,,Setzung ,
Scrap50_DRI50,,Energy demand,Electricity,,,,,0.565,,MWh/t RS,,,Skaliert MA OL Cavaliere 2019 ,
Scrap50_DRI50,,Energy demand,Hydrogen,,,,,41.8,,kg/t RS,,,Skaliert MA OL Hölling 2017 plus Nebenanlagen plus Gasaufheizung plus Ersatz Brennererdgas EAF ,
Scrap50_DRI50,,Feedstock demand,Scrap Steel,,,,,0.545,,t/t RS,,,Skaliert von Scrap100 ,
Scrap50_DRI50,,High CAPEX,CAPEX,,,2024,,448.5,,€/t annual production capacity,,,Skaliert Originalwert aus Woertler et al 2013 auf 2024 inflationiert,
Scrap50_DRI50,,OPEX,Additional OPEX,,,2024,,71.3,,€/t RS,,,Wert fuer Arbeit aus MA OL auf 2024 inflationiert ,
Scrap50_DRI50,,Feedstock demand,Naphta,,,,,0,,t/t RS,,,Setzung ,
Scrap50_DRI50,,Feedstock demand,DRI-Pellets,,,,,0.805,,t/t RS,,,MA OL ,
Scrap50_DRI50,,Feedstock demand,Iron Ore,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Scrap50_DRI50,,Energy demand,Injection Coal,,,,,0,,t/t RS,,,Setzung ,
Scrap50_DRI50,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Setzung ,
Scrap50_DRI50,,Energy demand,Biomass,,,,,0.015,,t/t RS,,,Entspricht Zusatz von 10kg C pro Tonne RS aus Biochar ,
Scrap80_DRI20,,Emissions,CO2,,,,,0.05,,t/t RS,,,Agora Stahlrechner ,
Scrap80_DRI20,,Energy demand,Natural Gas,,,,,0,,MWh/t RS,,,Setzung ,
Scrap80_DRI20,,Energy demand,Electricity,,,,,0.496,,MWh/t RS,,,Skaliert MA OL Cavaliere 2019 ,
Scrap80_DRI20,,Energy demand,Hydrogen,,,,,18.5,,kg/t RS,,,Skaliert MA OL Hölling 2017 plus Nebenanlagen plus Gasaufheizung plus Ersatz Brennererdgas EAF ,
Scrap80_DRI20,,Feedstock demand,Scrap Steel,,,,,0.872,,t/t RS,,,Skaliert von Scrap100 ,
Scrap80_DRI20,,High CAPEX,CAPEX,,,2024,,345,,€/t annual production capacity,,,Skaliert Originalwert aus Woertler et al 2013 auf 2024 inflationiert,
Scrap80_DRI20,,OPEX,Additional OPEX,,,2024,,71.3,,€/t RS,,,Wert fuer Arbeit aus MA OL auf 2024 inflationiert ,
Scrap80_DRI20,,Feedstock demand,Naphta,,,,,0,,t/t RS,,,Setzung ,
Scrap80_DRI20,,Feedstock demand,DRI-Pellets,,,,,0.322,,t/t RS,,,MA OL ,
Scrap80_DRI20,,Feedstock demand,Iron Ore,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Scrap80_DRI20,,Energy demand,Injection Coal,,,,,0,,t/t RS,,,Setzung ,
Scrap80_DRI20,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Setzung ,
Scrap80_DRI20,,Energy demand,Biomass,,,,,0.015,,t/t RS,,,Entspricht Zusatz von 10kg C pro Tonne RS aus Biochar ,
Scrap100_DRI0,,Emissions,CO2,,,,,0.05,,t/t RS,,,Agora Stahlrechner ,
Scrap100_DRI0,,Energy demand,Natural Gas,,,,,0,,MWh/t RS,,,Setzung ,
Scrap100_DRI0,,Energy demand,Electricity,,,,,0.45,,MWh/t RS,,,MA OL Cavaliere 2019 und vertraulich voestalpine Linz ,
Scrap100_DRI0,,Energy demand,Hydrogen,,,,,3,,kg/t RS,,,Nur Ersatz Brennererdgas EAF ,
Scrap100_DRI0,,Feedstock demand,Scrap Steel,,,,,1.09,,t/t RS,,,MA OL Primaerquelle BDSV ,
Scrap100_DRI0,,High CAPEX,CAPEX,,,2024,,276,,€/t annual production capacity,,,Skaliert Originalwert aus Woertler et al 2013 auf 2024 inflationiert,
Scrap100_DRI0,,OPEX,Additional OPEX,,,2024,,71.3,,€/t RS,,,Wert fuer Arbeit aus MA OL auf 2024 inflationiert ,
Scrap100_DRI0,,Feedstock demand,Naphta,,,,,0,,t/t RS,,,Setzung ,
Scrap100_DRI0,,Feedstock demand,DRI-Pellets,,,,,0,,t/t RS,,,Setzung ,
Scrap100_DRI0,,Feedstock demand,Iron Ore,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Scrap100_DRI0,,Energy demand,Injection Coal,,,,,0,,t/t RS,,,Setzung ,
Scrap100_DRI0,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Setzung ,
Scrap100_DRI0,,Energy demand,Biomass,,,,,0.015,,t/t RS,,,Entspricht Zusatz von 10kg C pro Tonne RS aus Biochar ,
BF_BOF_reference,,Emissions,CO2,,,,,1.71,,t/t RS,,,Agora Stahlrechner ,
BF_BOF_reference,,Energy demand,Natural Gas,,,,,0.17,,MWh/t RS,,,Agora Stahlrechner ,
BF_BOF_reference,,Energy demand,Electricity,,,,,0,,MWh/t RS,,,Agora Stahlrechner ,
BF_BOF_reference,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Setzung ,
BF_BOF_reference,,Feedstock demand,Scrap Steel,,,,,0.19,,t/t RS,,,Agora Stahlrechner ,
BF_BOF_reference,,High CAPEX,CAPEX,,,2024,,255,,€/t annual production capacity,,,Skaliert Originalwert aus Woertler et al 2013 auf 2024 inflationiert,
BF_BOF_reference,,OPEX,Additional OPEX,,,2024,,57.8,,€/t RS,,,Wert fuer Arbeit aus Agora Stahlrechner auf 2024 inflationiert ,
BF_BOF_reference,,Feedstock demand,Naphta,,,,,0,,t/t RS,,,Setzung ,
BF_BOF_reference,,Feedstock demand,DRI-Pellets,,,,,0,,t/t RS,,,Setzung ,
BF_BOF_reference,,Feedstock demand,Iron Ore,,,,,1.39,,t/t RS,,,Agora Stahlrechner ,
BF_BOF_reference,,Energy demand,Injection Coal,,,,,0.17,,t/t RS,,,Agora Stahlrechner ,
BF_BOF_reference,,Energy demand,Coking Coal,,,,,0.4,,t/t RS,,,Agora Stahlrechner ,
BF_BOF_reference,,Energy demand,Biomass,,,,,0,,t/t RS,,,Setzung ,
BF_BOF_reference,1,scrap_steel,BF_BOF_reference,1,1,8760,20,2028,15,7.5,0,H2-only
